timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:14:22.516, 93 %, 32017 MiB, 369.55 W, 54
2026/09/06 16:14:22.767, 93 %, 32017 MiB, 369.55 W, 54
2026/09/06 16:14:23.017, 93 %, 32017 MiB, 369.75 W, 54
2026/09/06 16:14:23.267, 93 %, 32017 MiB, 369.75 W, 54
2026/09/06 16:14:23.517, 95 %, 32017 MiB, 390.84 W, 59
2026/09/06 16:14:23.767, 95 %, 32017 MiB, 390.84 W, 59
2026/09/06 16:14:24.018, 95 %, 32017 MiB, 482.17 W, 62
2026/09/06 16:14:24.268, 95 %, 32017 MiB, 482.17 W, 62
2026/09/06 16:14:24.518, 93 %, 32017 MiB, 504.20 W, 55
2026/09/06 16:14:24.768, 93 %, 32017 MiB, 504.20 W, 55
2026/09/06 16:14:25.019, 93 %, 32017 MiB, 417.56 W, 55
2026/09/06 16:14:25.269, 93 %, 32017 MiB, 417.56 W, 55
2026/09/06 16:14:25.519, 94 %, 32017 MiB, 371.43 W, 55
2026/09/06 16:14:25.769, 94 %, 32017 MiB, 371.43 W, 55
2026/09/06 16:14:26.019, 94 %, 32017 MiB, 370.62 W, 55
2026/09/06 16:14:26.270, 94 %, 32017 MiB, 370.62 W, 55
2026/09/06 16:14:26.522, 93 %, 32017 MiB, 370.57 W, 55
2026/09/06 16:14:26.772, 93 %, 32017 MiB, 370.57 W, 55
2026/09/06 16:14:27.022, 93 %, 32017 MiB, 379.96 W, 60
2026/09/06 16:14:27.272, 93 %, 32017 MiB, 379.96 W, 60
2026/09/06 16:14:27.522, 95 %, 32017 MiB, 472.72 W, 64
2026/09/06 16:14:27.773, 95 %, 32017 MiB, 472.72 W, 64
2026/09/06 16:14:28.023, 95 %, 32017 MiB, 512.27 W, 56
2026/09/06 16:14:28.273, 95 %, 32017 MiB, 512.27 W, 56
2026/09/06 16:14:28.523, 94 %, 32017 MiB, 428.01 W, 56
2026/09/06 16:14:28.774, 94 %, 32017 MiB, 428.01 W, 56
2026/09/06 16:14:29.024, 94 %, 32017 MiB, 371.92 W, 56
2026/09/06 16:14:29.274, 94 %, 32017 MiB, 371.92 W, 56
2026/09/06 16:14:29.524, 93 %, 32017 MiB, 372.29 W, 56
