timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:48:31.429, 100 %, 31897 MiB, 419.97 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:31.679, 100 %, 31897 MiB, 419.97 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:31.929, 100 %, 31897 MiB, 417.67 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:32.179, 100 %, 31897 MiB, 417.67 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:32.429, 100 %, 31897 MiB, 419.31 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:32.680, 100 %, 31897 MiB, 419.31 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:32.930, 93 %, 31897 MiB, 417.02 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:33.180, 93 %, 31897 MiB, 417.02 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:33.430, 93 %, 31897 MiB, 417.64 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:33.680, 93 %, 31897 MiB, 417.64 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:33.930, 100 %, 31897 MiB, 418.08 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:34.181, 100 %, 31897 MiB, 418.08 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:34.431, 100 %, 31897 MiB, 419.74 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:34.681, 100 %, 31897 MiB, 419.74 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:34.931, 100 %, 31897 MiB, 418.93 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:35.181, 100 %, 31897 MiB, 418.93 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:35.431, 100 %, 31897 MiB, 419.68 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:35.681, 100 %, 31897 MiB, 419.68 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:35.932, 100 %, 31897 MiB, 419.04 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:36.182, 100 %, 31897 MiB, 419.04 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:36.432, 100 %, 31897 MiB, 418.17 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:36.682, 100 %, 31897 MiB, 418.17 W, 67, 2805 MHz, 13801 MHz
2026/09/06 16:48:36.932, 100 %, 31897 MiB, 418.42 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:37.182, 100 %, 31897 MiB, 418.42 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:37.433, 100 %, 31897 MiB, 418.61 W, 69, 2820 MHz, 13801 MHz
2026/09/06 16:48:37.683, 100 %, 31897 MiB, 418.61 W, 69, 2820 MHz, 13801 MHz
2026/09/06 16:48:37.933, 97 %, 31897 MiB, 420.40 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:38.183, 97 %, 31897 MiB, 420.40 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:38.433, 97 %, 31897 MiB, 419.32 W, 71, 2820 MHz, 13801 MHz
2026/09/06 16:48:38.683, 97 %, 31897 MiB, 419.32 W, 71, 2820 MHz, 13801 MHz
2026/09/06 16:48:38.933, 100 %, 31897 MiB, 418.90 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:39.184, 100 %, 31897 MiB, 418.90 W, 68, 2812 MHz, 13801 MHz
2026/09/06 16:48:39.434, 100 %, 31897 MiB, 420.87 W, 71, 2820 MHz, 13801 MHz
2026/09/06 16:48:39.684, 100 %, 31897 MiB, 420.87 W, 71, 2820 MHz, 13801 MHz
